"gauge_code","nome","estado","lat","long","time_step","network","n_years_zip"
"150600501A","Prainha","PA",-1.787735,-53.483724,10,"CEMADEN",2
"150616101A","Rio Maria","PA",-7.3105,-50.0543,10,"CEMADEN",3
"150619501A","Rurópolis","PA",-4.088321,-54.889281,10,"CEMADEN",3
"150619502A","Rurópolis","PA",-4.099531,-54.910166,10,"CEMADEN",8
"150670801A","Santana do Araguaia","PA",-9.334535,-50.343572,10,"CEMADEN",1
"150670802A","Santana do Araguaia","PA",-9.339275,-50.328607,10,"CEMADEN",1
"150680701A","Santarém","PA",-2.476242,-54.684978,10,"CEMADEN",1
"150680702A","Santarãòm","PA",-2.434686,-54.691573,10,"CEMADEN",3
"150680703A","Santarãòm","PA",-2.461588,-54.730973,10,"CEMADEN",2
"150680704A","Santarém","PA",-2.428133,-54.742238,10,"CEMADEN",7
"150745801A","São Geraldo do Araguaia","PA",-6.39562,-48.56079,10,"CEMADEN",5
"150780501A","Senador José Porfírio","PA",-2.586834,-51.948208,10,"CEMADEN",5
"150797901A","Terra Santa","PA",-2.110365,-56.491644,10,"CEMADEN",1
"150805001A","Trairão","PA",-4.707003,-55.990712,10,"CEMADEN",5
"150810001A","Tucuruí","PA",-3.766,-49.67,10,"CEMADEN",3
"150835701A","Vitória do Xingu","PA",-2.881682,-52.011503000000005,10,"CEMADEN",3
"15122000","Comodoro","MT",-13.63,-59.8761,60,"Telemetria",2
"15123000","Comodoro","MT",-13.7822,-59.7922,60,"Telemetria",1
"15123080","Comodoro","MT",-13.0206,-60.1114,60,"Telemetria",4
"15123200","Vilhena","RO",-12.9575,-60.1347,60,"Telemetria",4
"15124009","Cabixi","RO",-13.5125,-60.53,15,"Telemetria",2
"15128500","Colorado do Oeste","RO",-13.0794,-60.6219,60,"Telemetria",1
"15130000","Pimenteiras do Oeste","RO",-13.4858,-61.05,15,"Telemetria",3
"15138000","Alto Alegre dos Parecis","RO",-12.3842,-61.7106,60,"Telemetria",3
"15150000","Costa Marques","RO",-12.8514,-62.8992,15,"Telemetria",1
"15150800","Alta Floresta D''oeste","RO",-11.9689,-61.9908,60,"Telemetria",2
"15151000","Alta Floresta D''oeste","RO",-11.9531,-62.0125,60,"Telemetria",1
"15151500","Alta Floresta D''oeste","RO",-11.9383,-62.0403,60,"Telemetria",4
"15152000","Alta Floresta D''oeste","RO",-11.9308,-62.1036,60,"Telemetria",1
"15170200","Alta Floresta D''oeste","RO",-11.9272,-62.1547,60,"Telemetria",4
"15170600","Alta Floresta D''oeste","RO",-11.9111,-62.1811,60,"Telemetria",1
"15171800","Alta Floresta D''oeste","RO",-11.9336,-62.1792,60,"Telemetria",1
"15200000","Costa Marques","RO",-12.4267,-64.4253,15,"Telemetria",3
