"codigo","nome","estado","lat","long","network","year.size","is_sul","rbar","classe_rbar","confia_theta","theta","mes_oposto","mes_oposto_nome","mes_relatorio","mes_relatorio_nome","n_meses_secos","seco_frac","mes_artigo","mes_hibrido_rbar","fonte_hibrido_rbar","mes_hibrido_nome"
"937004","Poço das Trincheiras","AL",-9.2167,-37.2833,"Hidroweb diário",70,FALSE,0.5570547212217396,"alta (>=0.3)",TRUE,1.1923785377713594,9,"set",12,"dez",3,0.15,10,9,"theta_pi","set"
"937005","Santana do Ipanema","AL",-9.4667,-37.4667,"Hidroweb diário",35,FALSE,0.2959217220468611,"media (0.20-0.3)",FALSE,1.4477384426408721,9,"set",12,"dez",3,0.15,10,12,"ultimo_mes_seco","dez"
"937006","Santana do Ipanema","AL",-9.3972,-37.2281,"Hidroweb diário",80,FALSE,0.3549522683202822,"alta (>=0.3)",TRUE,1.7467021280602284,10,"out",1,"jan",4,0.15,10,10,"theta_pi","out"
"937007","Água Branca","AL",-9.2833,-37.9333,"Hidroweb diário",71,FALSE,0.5828019293916411,"alta (>=0.3)",TRUE,1.292338332655353,9,"set",12,"dez",5,0.15,11,9,"theta_pi","set"
"937011","Cacimbinhas","AL",-9.4,-37,"Hidroweb diário",35,FALSE,0.35143710817387275,"alta (>=0.3)",TRUE,1.5845236037007393,10,"out",12,"dez",4,0.15,10,10,"theta_pi","out"
"937012","Canapi","AL",-9.1833,-37.4333,"Hidroweb diário",58,FALSE,0.5918734525882675,"alta (>=0.3)",TRUE,0.8872678762637825,8,"ago",11,"nov",4,0.15,9,8,"theta_pi","ago"
"937013","Delmiro Gouvéia","AL",-9.3928,-37.9942,"Hidroweb diário",85,FALSE,0.7009314689893817,"alta (>=0.3)",TRUE,0.8236276356962638,8,"ago",11,"nov",3,0.15,10,8,"theta_pi","ago"
"937014","Mata Grande","AL",-9.1333,-37.7333,"Hidroweb diário",41,FALSE,0.42463073549940944,"alta (>=0.3)",TRUE,1.7090885639824558,10,"out",2,"fev",6,0.15,10,10,"theta_pi","out"
"937016","Olho D'água das Flores","AL",-9.5333,-37.2833,"Hidroweb diário",31,FALSE,0.760962109168313,"alta (>=0.3)",TRUE,1.3512630149768032,9,"set",12,"dez",3,0.15,10,9,"theta_pi","set"
"937018","Pão de Açúcar","AL",-9.7486,-37.4497,"Hidroweb diário",83,FALSE,0.5704444634289537,"alta (>=0.3)",TRUE,0.7790681275913769,8,"ago",1,"jan",4,0.15,11,8,"theta_pi","ago"
"937019","Pão de Açúcar","AL",-9.7333,-37.4333,"Hidroweb diário",72,FALSE,0.4171309767586086,"alta (>=0.3)",TRUE,0.8460155722047642,8,"ago",12,"dez",3,0.15,10,8,"theta_pi","ago"
"937021","Pão de Açúcar","AL",-9.7333,-37.4333,"Hidroweb diário",38,FALSE,0.36540524409257913,"alta (>=0.3)",TRUE,1.144155738539666,9,"set",2,"fev",6,0.15,10,9,"theta_pi","set"
"937022","Piranhas","AL",-9.6115579,-37.7616366,"Hidroweb diário",80,FALSE,0.516366428029107,"alta (>=0.3)",TRUE,0.6923827370449773,8,"ago",11,"nov",3,0.15,10,8,"theta_pi","ago"
"937023","Piranhas","AL",-9.6261,-37.756100000000004,"Hidroweb diário",85,FALSE,0.5627208122391248,"alta (>=0.3)",TRUE,0.9347197702778437,8,"ago",12,"dez",4,0.15,10,8,"theta_pi","ago"
"937032","Santana do Ipanema","AL",-9.3728,-37.2453,"Hidroweb diário",48,FALSE,0.4186728929838057,"alta (>=0.3)",TRUE,1.4248713654763612,9,"set",12,"dez",3,0.15,10,9,"theta_pi","set"
"160000","Presidente Figueiredo","AM",-1.2989,-60.3997,"Hidroweb diário",40,FALSE,0.48425452247223555,"alta (>=0.3)",TRUE,1.2824209949693601,9,"set",11,"nov",5,0.15,8,9,"theta_pi","set"
"161002","Barcelos","AM",-1.4589,-61.6331,"Hidroweb diário",46,FALSE,0.4510200623949726,"alta (>=0.3)",TRUE,1.1996508061333542,9,"set",10,"out",3,0.15,9,9,"theta_pi","set"
"162000","Barcelos","AM",-1.3944,-61.9792,"Hidroweb diário",49,FALSE,0.24839209880164415,"media (0.20-0.3)",FALSE,0.843755426414498,8,"ago",10,"out",3,0.15,9,10,"ultimo_mes_seco","out"
"162002","Barcelos","AM",-1.8872,-62.4367,"Hidroweb diário",42,FALSE,0.3164119516800866,"alta (>=0.3)",TRUE,1.381693203559841,9,"set",9,"set",2,0.15,9,9,"theta_pi","set"
"165000","Maraã","AM",-1.8611,-65.5906,"Hidroweb diário",48,FALSE,0.39891726311542797,"alta (>=0.3)",TRUE,1.7144258317416714,10,"out",10,"out",3,0.15,9,10,"theta_pi","out"
"166000","Japurá","AM",-1.8211,-66.6,"Hidroweb diário",53,FALSE,0.2783191345020467,"media (0.20-0.3)",FALSE,1.3455549999311314,9,"set",10,"out",3,0.15,9,10,"ultimo_mes_seco","out"
"169000","Japurá","AM",-1.3947,-69.4283,"Hidroweb diário",46,FALSE,0.40800162721703204,"alta (>=0.3)",TRUE,1.2036616616256595,9,"set",9,"set",1,0.15,9,9,"theta_pi","set"
"256000","Parintins","AM",-2.6333,-56.7333,"Hidroweb diário",31,FALSE,0.6401403113185111,"alta (>=0.3)",TRUE,1.1255549459442495,9,"set",11,"nov",4,0.15,9,9,"theta_pi","set"
"256002","Nhamundá","AM",-2.1897,-56.7106,"Hidroweb diário",43,FALSE,0.6422293359792156,"alta (>=0.3)",TRUE,1.1647667813230644,9,"set",11,"nov",5,0.15,8,9,"theta_pi","set"
"257000","Urucará","AM",-2.5378,-57.7581,"Hidroweb diário",48,FALSE,0.49889801994295135,"alta (>=0.3)",TRUE,1.0230852953271599,8,"ago",9,"set",3,0.15,9,8,"theta_pi","ago"
"257001","Barreirinha","AM",-2.7922,-57.0644,"Hidroweb diário",44,FALSE,0.4139430946725773,"alta (>=0.3)",TRUE,1.0029244217956679,8,"ago",10,"out",3,0.15,9,8,"theta_pi","ago"
"257002","Boa Vista do Ramos","AM",-2.9703,-57.59,"Hidroweb diário",37,FALSE,0.5827608352329517,"alta (>=0.3)",TRUE,1.1516740834966657,9,"set",11,"nov",4,0.15,9,9,"theta_pi","set"
"257003","Parintins","AM",-2.4556,-57.2825,"Hidroweb diário",37,FALSE,0.5687880321504488,"alta (>=0.3)",TRUE,1.081316799947476,9,"set",10,"out",4,0.15,8,9,"theta_pi","set"
"259000","Presidente Figueiredo","AM",-2.1039,-59.3442,"Hidroweb diário",45,FALSE,0.5070928127945471,"alta (>=0.3)",TRUE,0.9758048655746964,8,"ago",10,"out",3,0.15,8,8,"theta_pi","ago"
"259004","Rio Preto da Eva","AM",-2.7003,-59.6997,"Hidroweb diário",32,FALSE,0.4511308567079531,"alta (>=0.3)",TRUE,1.059427035483159,9,"set",9,"set",3,0.15,8,9,"theta_pi","set"
"260006","Novo Airão","AM",-2.62,-60.9478,"Hidroweb diário",44,FALSE,0.5027023530242961,"alta (>=0.3)",TRUE,0.8770507547356162,8,"ago",9,"set",3,0.15,8,8,"theta_pi","ago"
"260007","Presidente Figueiredo","AM",-2.0417,-60.0258,"Hidroweb diário",40,FALSE,0.4688604872250296,"alta (>=0.3)",TRUE,1.344403397435666,9,"set",11,"nov",4,0.15,8,9,"theta_pi","set"
"261000","Novo Airão","AM",-2.0247,-61.5414,"Hidroweb diário",37,FALSE,0.3107827121420207,"alta (>=0.3)",TRUE,1.3797359643304432,9,"set",10,"out",4,0.15,8,9,"theta_pi","set"
"265000","Maraã","AM",-2.35,-65.1167,"Hidroweb diário",43,FALSE,0.33003749094129786,"alta (>=0.3)",TRUE,1.2368756582100802,9,"set",9,"set",2,0.15,9,9,"theta_pi","set"
"266004","Jutaí","AM",-2.8903,-66.9492,"Hidroweb diário",41,FALSE,0.49381285798261043,"alta (>=0.3)",TRUE,0.861310959584646,8,"ago",9,"set",2,0.15,8,8,"theta_pi","ago"
"267001","Fonte Boa","AM",-2.75,-67.5667,"Hidroweb diário",34,FALSE,0.3721836637757979,"alta (>=0.3)",TRUE,0.793643419863242,8,"ago",9,"set",2,0.15,8,8,"theta_pi","ago"
"268000","Santo Antônio do Içá","AM",-2.8806,-68.7986,"Hidroweb diário",42,FALSE,0.5457637576617004,"alta (>=0.3)",TRUE,0.25347233241500866,7,"jul",6,"jun",2,0.15,9,7,"theta_pi","jul"
"357001","Maués","AM",-3.4006,-57.7156,"Hidroweb diário",46,FALSE,0.4828500068456864,"alta (>=0.3)",TRUE,0.8251006235162083,8,"ago",10,"out",3,0.15,9,8,"theta_pi","ago"
"357003","Maués","AM",-3.8967,-57.5042,"Hidroweb diário",35,FALSE,0.6185865717871452,"alta (>=0.3)",TRUE,0.7864037592669224,8,"ago",9,"set",4,0.15,8,8,"theta_pi","ago"
"358002","Itacoatiara","AM",-2.9131,-59.0433,"Hidroweb diário",46,FALSE,0.4520575588933872,"alta (>=0.3)",TRUE,0.9042476123304466,8,"ago",10,"out",4,0.15,8,8,"theta_pi","ago"
"358003","Nova Olinda do Norte","AM",-3.8167,-58.2861,"Hidroweb diário",44,FALSE,0.4185686816728532,"alta (>=0.3)",TRUE,0.7663471124898897,8,"ago",9,"set",3,0.15,8,8,"theta_pi","ago"
"359001","Nova Olinda do Norte","AM",-3.8847,-59.0897,"Hidroweb diário",42,FALSE,0.37959595783961153,"alta (>=0.3)",TRUE,0.9686328259388629,8,"ago",10,"out",4,0.15,8,8,"theta_pi","ago"
"360000","Manaus","AM",-3.1167,-59.95,"Hidroweb diário",57,FALSE,0.4627082804201655,"alta (>=0.3)",TRUE,0.9537023751432208,8,"ago",9,"set",3,0.15,8,8,"theta_pi","ago"
"360001","Manacapuru","AM",-3.3083,-60.6094,"Hidroweb diário",48,FALSE,0.4419899824262047,"alta (>=0.3)",TRUE,0.9540971787954171,8,"ago",9,"set",3,0.15,8,8,"theta_pi","ago"
"361000","Manacapuru","AM",-3.8978,-61.3747,"Hidroweb diário",46,FALSE,0.47778496212963456,"alta (>=0.3)",TRUE,0.4745938801801357,7,"jul",9,"set",3,0.15,8,7,"theta_pi","jul"
"361001","Codajás","AM",-3.3297,-61.2133,"Hidroweb diário",44,FALSE,0.3427103768317248,"alta (>=0.3)",TRUE,1.185420545140083,9,"set",8,"ago",2,0.15,8,9,"theta_pi","set"
"362002","Codajás","AM",-3.4183,-62.6786,"Hidroweb diário",41,FALSE,0.3773229260006323,"alta (>=0.3)",TRUE,1.1860245241832206,9,"set",9,"set",3,0.15,7,9,"theta_pi","set"
"363000","Coari","AM",-3.875,-63.7858,"Hidroweb diário",43,FALSE,0.41748890895505986,"alta (>=0.3)",TRUE,0.54687197198191,8,"ago",9,"set",3,0.15,8,8,"theta_pi","ago"
"364001","Tefé","AM",-3.5903,-64.3069,"Hidroweb diário",32,FALSE,0.31482397772820586,"alta (>=0.3)",TRUE,0.6813220289781551,8,"ago",8,"ago",2,0.15,8,8,"theta_pi","ago"
"366000","Juruá","AM",-3.6414,-66.1031,"Hidroweb diário",44,FALSE,0.3653957588481372,"alta (>=0.3)",TRUE,0.43179182688575685,7,"jul",8,"ago",2,0.15,7,7,"theta_pi","jul"
"367000","Santo Antônio do Içá","AM",-3.1017,-67.9356,"Hidroweb diário",51,FALSE,0.2943664728813635,"media (0.20-0.3)",FALSE,0.8703368664003619,8,"ago",9,"set",2,0.15,8,9,"ultimo_mes_seco","set"
"367001","Jutaí","AM",-3.3372,-67.4889,"Hidroweb diário",34,FALSE,0.3898075032364823,"alta (>=0.3)",TRUE,1.1269812727418416,9,"set",9,"set",2,0.15,9,9,"theta_pi","set"
"368001","São Paulo de Olivença","AM",-3.4569,-68.9119,"Hidroweb diário",53,FALSE,0.28881368830531445,"media (0.20-0.3)",FALSE,0.869798812897902,8,"ago",9,"set",2,0.15,8,9,"ultimo_mes_seco","set"
"369000","São Paulo de Olivença","AM",-3.5731,-69.3708,"Hidroweb diário",43,FALSE,0.5708419973716462,"alta (>=0.3)",TRUE,2.957024449802115,12,"dez",9,"set",3,0.15,8,12,"theta_pi","dez"
"458001","Borba","AM",-4.2308,-58.6714,"Hidroweb diário",34,FALSE,0.6014879850350805,"alta (>=0.3)",TRUE,0.5761540863566259,8,"ago",9,"set",3,0.15,7,8,"theta_pi","ago"
