"gauge_code","estado","n_anos_aceitos","na_mediano_pct","na_max_pct"
"320440101A","ES",4,3.5652930608578486,9.695585996955861
"320440102A","ES",3,4.223744292237443,5.852359208523592
"320450001A","ES",2,0.02089987191323369,0.020928462709284626
"320455902A","ES",1,0.02087128111718276,0.02087128111718276
"320455903A","ES",1,3.705601092896175,3.705601092896175
"320455904A","ES",1,2.0072298325722984,2.0072298325722984
"320465801A","ES",1,0.02087128111718276,0.02087128111718276
"320480702A","ES",3,1.2328767123287672,3.007361870066788
"320480717H","ES",1,1.5767304189435338,1.5767304189435338
"320490601A","ES",1,0.02087128111718276,0.02087128111718276
"320490602A","ES",5,1.4989374620522162,7.336377473363774
"320495502A","ES",1,1.6362252663622525,1.6362252663622525
"320500202A","ES",3,0.020928462709284626,5.0038051750380514
"320500204A","ES",5,2.28310502283105,10.477383120825744
"320500205A","ES",1,0.02087128111718276,0.02087128111718276
"320500206A","ES",5,1.3831811263318112,3.339041095890411
"320500207A","ES",1,9.984061930783241,9.984061930783241
"320500213A","ES",6,2.0681126331811264,5.629553734061931
"320503601A","ES",2,9.244163318944365,11.482999392835458
"320506901A","ES",3,6.830289193302892,11.454538554948392
"320510101A","ES",2,0.02089987191323369,0.020928462709284626
"320510104A","ES",4,0.9979071537290715,1.8531202435312022
"320515001A","ES",3,4.528158295281583,7.324961948249619
"320520002A","ES",2,0.4632384742703629,0.8961187214611872
"320520006A","ES",2,2.0110350076103503,2.0985540334855406
"320520007A","ES",1,0.02087128111718276,0.02087128111718276
"320520008A","ES",1,0.02087128111718276,0.02087128111718276
"320520009A","ES",1,0.030358227079538558,0.030358227079538558
"320530905A","ES",7,1.7465753424657535,8.727990285367335
"320530908A","ES",5,1.6229071537290716,9.115057680631452
"320530910A","ES",1,0.9037290715372907,0.9037290715372907
"330010001G","RJ",1,2.5057077625570776,2.5057077625570776
"330010002A","RJ",2,5.450772887192155,6.352459016393443
"330010003A","RJ",6,8.414193302891935,19.828767123287673
"330010004A","RJ",2,3.041286149162861,5.102739726027397
"330010005A","RJ",2,2.9309360730593608,5.220700152207002
"330010006A","RJ",1,0.7553272450532724,0.7553272450532724
"330010006G","RJ",1,4.893455098934551,4.893455098934551
"330010009A","RJ",1,0.9570015220700152,0.9570015220700152
"330010010A","RJ",1,2.1689497716894977,2.1689497716894977
