"gauge_code","d","imax","date","wateryear","start_month","na_prct_yr","na_prct_mon","mon_filter","n_max","time_step_min","estado","lat","long","time_step","mes_inicio","mes_inicio_nome","network","classe_espacial","fonte_inicio","metodo_ano_hidro","f_moda","rbar_local","dist_nn_km"
"13180000",15,4.973333333333334,"2018-02-15 01:45:00",2018,7,0.052773941068139964,0.0026041666666666665,"1,2,3,4,5,6,7,8,9,10,11,12",5,900,"AC",-8.8886,-69.275,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",1,1,0.91
"13180000",15,5.36,"2019-03-10 07:45:00",2019,7,0.005051369863013699,0.0016801075268817205,"1,2,3,4,5,6,7,8,9,10,11,12",10,900,"AC",-8.8886,-69.275,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",1,1,0.91
"13180000",15,4.013333333333334,"2020-01-17 05:15:00",2020,7,0.014571948998178506,0,"1,2,3,4,5,6,7,8,9,10,11,12",32,900,"AC",-8.8886,-69.275,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",1,1,0.91
"13180000",15,5.933333333333334,"2020-12-26 18:15:00",2021,7,0.020804794520547946,0.006720430107526882,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-8.8886,-69.275,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",1,1,0.91
"13180000",15,6.626666666666667,"2021-12-06 03:30:00",2022,7,0.02665525114155251,0.013440860215053764,"1,2,3,4,5,6,7,8,9,10,11,12",2,900,"AC",-8.8886,-69.275,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",1,1,0.91
"13180000",15,4.3066666666666675,"2022-12-02 14:45:00",2023,7,0.029438405797101448,0.14650537634408603,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-8.8886,-69.275,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",1,1,0.91
"13300000",15,4.226666666666668,"2025-03-03 00:15:00",2025,7,0.0024171270718232043,0.004368279569892473,"1,2,3,4,5,6,7,8,9,10,11,12",18,900,"AC",-9.3744,-68.7239,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,40.14
"13300000",15,4.840000000000002,"2025-12-26 06:45:00",2026,7,0.0022078804347826085,0,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-9.3744,-68.7239,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,40.14
"13310000",15,6.906666666666669,"2016-02-29 06:45:00",2016,7,0.009844322344322344,0.03915229885057471,"1,2,3,4,5,6,7,8,9,10,11,12",17,900,"AC",-9.0678,-68.6531,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.978,8.83
"13310000",15,5.080000000000002,"2017-04-27 14:15:00",2017,7,0.020405251141552512,0.06354166666666666,"1,2,3,4,5,6,7,8,9,10,11,12",3,900,"AC",-9.0678,-68.6531,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.978,8.83
"13310000",15,4.040000000000002,"2018-02-01 15:00:00",2018,7,0.0023401826484018263,0.001488095238095238,"1,2,3,4,5,6,7,8,9,10,11,12",14,900,"AC",-9.0678,-68.6531,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.978,8.83
"13310000",15,6.773333333333334,"2018-11-19 18:15:00",2019,7,0.08301940639269406,0.10104166666666667,"1,2,3,4,5,6,7,8,9,10,11,12",39,900,"AC",-9.0678,-68.6531,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.978,8.83
"13310000",15,4.8133333333333335,"2019-12-24 02:45:00",2020,7,0.13516051912568305,0,"1,2,3,4,5,6,7,8,9,10,11,12",32,900,"AC",-9.0678,-68.6531,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.978,8.83
"13310000",15,4.373333333333334,"2020-10-30 16:00:00",2021,7,0.4987728310502283,0.0023521505376344087,"1,2,3,4,5,6,7,8,9,10,11,12",17,900,"AC",-9.0678,-68.6531,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.978,8.83
"13310000",15,NA,NA,2022,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-9.0678,-68.6531,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.978,8.83
"13310000",15,NA,NA,2023,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-9.0678,-68.6531,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.978,8.83
"13310000",15,9.173333333333327,"2024-03-17 08:00:00",2024,7,0.5035576047358834,0.002688172043010753,"1,2,3,4,5,6,7,8,9,10,11,12",2,900,"AC",-9.0678,-68.6531,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.978,8.83
"13310000",15,7.106666666666669,"2024-12-16 01:15:00",2025,7,0.0018115942028985507,0,"1,2,3,4,5,6,7,8,9,10,11,12",6,900,"AC",-9.0678,-68.6531,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.8,0.978,8.83
"13405000",15,8.2,"2014-01-14 06:00:00",2014,7,0.007308931860036833,0.016801075268817203,"1,2,3,4,5,6,7,8,9,10,11,12",16,900,"AC",-9.1103,-68.9933,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,0.1
"13405000",15,9.74666666666666,"2014-11-24",2015,7,0.003167808219178082,0.002777777777777778,"1,2,3,4,5,6,7,8,9,10,11,12",20,900,"AC",-9.1103,-68.9933,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,0.1
"13405000",15,2.920000000000001,"2015-11-03 00:15:00",2016,7,0.5028460837887068,0.027777777777777776,"1,2,3,4,5,6,7,8,9,10,11,12",34,900,"AC",-9.1103,-68.9933,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,0.1
"13405000",15,NA,NA,2017,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-9.1103,-68.9933,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,0.1
"13405000",15,NA,NA,2018,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-9.1103,-68.9933,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,0.1
"13405000",15,NA,NA,2019,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-9.1103,-68.9933,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,0.1
"13405000",15,NA,NA,2020,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-9.1103,-68.9933,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,0.1
"13405000",15,NA,NA,2021,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-9.1103,-68.9933,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,0.1
"13405000",15,NA,NA,2022,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-9.1103,-68.9933,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,0.1
"13405000",15,NA,NA,2023,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-9.1103,-68.9933,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,0.1
"13405000",15,NA,NA,2024,7,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-9.1103,-68.9933,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.9,0.988,0.1
