"gauge_code","estado","lat","long","time_step","network","classe_espacial","mes_inicio","fonte_inicio","mes_moda","f_moda","rbar_local","dist_nn_km","nome","n_years_zip","responsible","mes_inicio_nome","metodo_ano_hidro"
"261300801C","PE",-8.524472,-36.473388,10,"CEMADEN","mancha",9,"moda_mancha",9,1,1,11.87,"São Bento do Una",2,"CEMADEN","set","uniplu_vizinhanca"
"261310701A","PE",-8.336111,-36.125556,10,"CEMADEN","mancha",9,"moda_mancha",9,0.7,0.942,3.46,"São Caitano",6,"CEMADEN","set","uniplu_vizinhanca"
"261320601A","PE",-8.878166,-36.368083,10,"CEMADEN","mancha",11,"moda_mancha",11,0.5,0.863,13.99,"São João",4,"CEMADEN","nov","uniplu_vizinhanca"
"261330501A","PE",-8.507,-35.895,10,"CEMADEN","mancha",11,"moda_mancha",11,0.5,0.869,23.45,"São Joaquim do Monte",3,"CEMADEN","nov","uniplu_vizinhanca"
"261330502A","PE",-8.432730000000001,-35.804942,10,"CEMADEN","mancha",11,"moda_mancha",11,0.4,0.889,24.44,"São Joaquim do Monte",1,"CEMADEN","nov","uniplu_vizinhanca"
"261340401A","AL",-8.91115,-35.164790000000004,10,"CEMADEN","mancha",11,"moda_mancha",11,0.7,0.971,13.97,"Barra Grande",4,"CEMADEN","nov","uniplu_vizinhanca"
"261350301A","PE",-7.83268,-38.76422,10,"CEMADEN","mancha",8,"moda_mancha",8,1,1,0.1,"São Josãò do Belmonte",1,"CEMADEN","ago","uniplu_vizinhanca"
"261350302A","PE",-7.996222,-38.624861,10,"CEMADEN","mancha",8,"moda_mancha",8,1,1,17.75,"São José do Belmonte",4,"CEMADEN","ago","uniplu_vizinhanca"
"261370101A","PE",-7.995,-35.035,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,0.53,"São Lourenço da Mata",7,"CEMADEN","nov","uniplu_vizinhanca"
"261370102A","PE",-8.037,-35.1,10,"CEMADEN","mancha",11,"moda_mancha",11,1,1,8.14,"São Lourenço da Mata",7,"CEMADEN","nov","uniplu_vizinhanca"
"261370103A","PE",-7.979,-35.073,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,2.6,"São Lourenço da Mata",8,"CEMADEN","nov","uniplu_vizinhanca"
"261370104A","PE",-8.01,-35.016,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,2.17,"São Lourenço da Mata",7,"CEMADEN","nov","uniplu_vizinhanca"
"261380001A","PE",-7.590832,-35.489782,10,"CEMADEN","mancha",10,"moda_mancha",10,0.5,0.966,10.69,"São Vicente Ferrer",5,"CEMADEN","out","uniplu_vizinhanca"
"261390901C","PE",-7.993416,-38.293805,10,"CEMADEN","mancha",8,"moda_mancha",8,0.5,0.966,3.59,"Serra Talhada",1,"CEMADEN","ago","uniplu_vizinhanca"
"261410501A","PE",-8.42957,-37.40961,10,"CEMADEN","mancha",8,"moda_mancha",8,0.5,0.966,0.89,"Sertânia",1,"CEMADEN","ago","uniplu_vizinhanca"
"261410501C","PE",-8.033305,-37.242833000000005,10,"CEMADEN","mancha",9,"moda_mancha",9,0.8,0.978,6.15,"Sertânia",1,"CEMADEN","set","uniplu_vizinhanca"
"261410502C","PE",-8.351805,-37.286611,10,"CEMADEN","mancha",9,"moda_mancha",9,0.6,0.967,9.43,"Sertânia",1,"CEMADEN","set","uniplu_vizinhanca"
"261420401A","PE",-8.592,-35.116,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,10.48,"Sirinhaãòm",6,"CEMADEN","nov","uniplu_vizinhanca"
"261420402A","PE",-8.594572,-35.109969,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,10.57,"Sirinhaãòm",2,"CEMADEN","nov","uniplu_vizinhanca"
"261430301A","PE",-7.6275,-39.551222,10,"CEMADEN","mancha",8,"moda_mancha",8,1,1,11.74,"Moreilândia",2,"CEMADEN","ago","uniplu_vizinhanca"
"261440201A","PE",-7.60213,-37.65258,10,"CEMADEN","mancha",9,"moda_mancha",9,0.8,0.937,10.19,"Solidão",1,"CEMADEN","set","uniplu_vizinhanca"
"261450101A","PE",-7.84449,-35.75571,10,"CEMADEN","mancha",10,"moda_mancha",10,0.7,0.971,1.39,"Surubim",2,"CEMADEN","out","uniplu_vizinhanca"
"261470901A","PE",-8.321819999999999,-36.29068,10,"CEMADEN","mancha",9,"moda_mancha",9,0.8,0.947,1.18,"Tacaimbó",4,"CEMADEN","set","uniplu_vizinhanca"
"261470902A","PE",-8.316389,-36.291667,10,"CEMADEN","mancha",9,"moda_mancha",9,0.8,0.947,0.93,"Tacaimbó",5,"CEMADEN","set","uniplu_vizinhanca"
"261480801A","PE",-9.10687,-38.14931,10,"CEMADEN","mancha",8,"moda_mancha",8,0.5,0.941,0.77,"Tacaratu",1,"CEMADEN","ago","uniplu_vizinhanca"
"261480801C","PE",-9.1125,-38.156555,10,"CEMADEN","mancha",8,"moda_mancha",8,0.5,0.941,1.57,"Tacaratu",1,"CEMADEN","ago","uniplu_vizinhanca"
"261485701A","PE",-8.768671,-35.313051,10,"CEMADEN","mancha",11,"moda_mancha",11,0.7,0.971,14.58,"Tamandaré",5,"CEMADEN","nov","uniplu_vizinhanca"
"261485702A","PE",-8.750556,-35.101667,10,"CEMADEN","mancha",11,"moda_mancha",11,0.7,0.971,10.6,"Tamandaré",5,"CEMADEN","nov","uniplu_vizinhanca"
"26150000","MT",-14.5997,-51.7197,15,"TELEMETRIA","mancha",7,"moda_mancha",7,1,1,56.83,"Nova Xavantina",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"261500301A","PE",-7.89838,-36.05043,10,"CEMADEN","mancha",10,"moda_mancha",10,0.7,0.961,0.19,"Taquaritinga do Norte",1,"CEMADEN","out","uniplu_vizinhanca"
"261510201A","PE",-9.056936,-36.623556,10,"CEMADEN","mancha",9,"moda_mancha",9,0.3,0.774,12.8,"Terezinha",3,"CEMADEN","set","uniplu_vizinhanca"
"261520102A","PE",-8.22468,-39.3766,10,"CEMADEN","mancha",8,"moda_mancha",8,0.9,0.988,1.16,"Terra Nova",1,"CEMADEN","ago","uniplu_vizinhanca"
"261530001A","PE",-7.551183,-35.276044,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,5.92,"Timbaúba",4,"CEMADEN","nov","uniplu_vizinhanca"
"261530002A","PE",-7.445494,-35.24407,10,"CEMADEN","mancha",11,"moda_mancha",11,0.7,0.971,11.29,"Timbaúba",3,"CEMADEN","nov","uniplu_vizinhanca"
"261540901A","PE",-8.00893,-36.06317,10,"CEMADEN","mancha",10,"moda_mancha",10,0.6,0.946,11.8,"Toritama",3,"CEMADEN","out","uniplu_vizinhanca"
"261550801A","PE",-7.80379,-35.23131,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,5.53,"Tracunhaãòm",3,"CEMADEN","nov","uniplu_vizinhanca"
"261560701U","PE",-7.700694,-40.250333,10,"CEMADEN","mancha",8,"moda_mancha",8,1,1,17.36,"Trindade",1,"CEMADEN","ago","uniplu_vizinhanca"
"261570601A","PE",-7.83051,-38.1056,10,"CEMADEN","mancha",9,"moda_mancha",9,0.6,0.912,1.27,"Triunfo",3,"CEMADEN","set","uniplu_vizinhanca"
"261590401C","PE",-7.633083,-37.327888,10,"CEMADEN","mancha",9,"moda_mancha",9,0.9,0.988,19.12,"Tuparetama",1,"CEMADEN","set","uniplu_vizinhanca"
"261600101C","PE",-8.559916000000001,-36.81597,10,"CEMADEN","mancha",9,"moda_mancha",9,0.9,0.988,8.5,"Venturosa",1,"CEMADEN","set","uniplu_vizinhanca"
"261610001A","PE",-7.930167,-38.968306,10,"CEMADEN","mancha",8,"moda_mancha",8,1,1,2.24,"Verdejante",1,"CEMADEN","ago","uniplu_vizinhanca"
"261618301A","PE",-7.77354,-35.84377,10,"CEMADEN","mancha",10,"moda_mancha",10,0.8,0.978,5.38,"Vertente do Lério",1,"CEMADEN","out","uniplu_vizinhanca"
"261618301C","PE",-7.762222,-35.8745,10,"CEMADEN","mancha",10,"moda_mancha",10,0.7,0.971,7.17,"Vertente do Lãòrio",1,"CEMADEN","out","uniplu_vizinhanca"
"261630801A","PE",-7.656,-35.319,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.973,15.46,"Vicência",5,"CEMADEN","nov","uniplu_vizinhanca"
"261630802A","PE",-7.668806,-35.412472,10,"CEMADEN","mancha",11,"moda_mancha",11,0.7,0.971,11.68,"Vicência",4,"CEMADEN","nov","uniplu_vizinhanca"
"261640702A","PE",-8.121,-35.325,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,4.64,"Vitória de Santo Antão",6,"CEMADEN","nov","uniplu_vizinhanca"
"261640704A","PE",-8.121,-35.298,10,"CEMADEN","mancha",11,"moda_mancha",11,1,1,1.77,"Vitória de Santo Antão",6,"CEMADEN","nov","uniplu_vizinhanca"
"261640705A","PE",-8.22513,-35.270697,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,11.67,"Vitória de Santo Antão",2,"CEMADEN","nov","uniplu_vizinhanca"
"261650601A","PE",-8.81,-35.627,10,"CEMADEN","mancha",11,"moda_mancha",11,0.5,0.966,7.58,"Xexéu",7,"CEMADEN","nov","uniplu_vizinhanca"
"261650602A","PE",-8.81,-35.627221999999996,10,"CEMADEN","mancha",11,"moda_mancha",11,0.5,0.966,7.56,"Xexãòu",2,"CEMADEN","nov","uniplu_vizinhanca"
"26350000","MT",-11.6181,-50.6625,15,"TELEMETRIA","mancha",7,"moda_mancha",7,1,1,0.18,"São Félix do Araguaia",2,"TELEMETRIA","jul","uniplu_vizinhanca"
"26500000","MT",-10.8733,-51.6286,15,"TELEMETRIA","mancha",7,"moda_mancha",7,1,1,0.71,"Porto Alegre do Norte",3,"TELEMETRIA","jul","uniplu_vizinhanca"
"26710000","TO",-12.0986,-49.9481,15,"TELEMETRIA","mancha",7,"moda_mancha",7,1,1,0.1,"Sandolândia",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"26711000","TO",-11.4644,-50.0078,15,"TELEMETRIA","mancha",7,"moda_mancha",7,1,1,49.19,"Formoso do Araguaia",2,"TELEMETRIA","jul","uniplu_vizinhanca"
"26730000","TO",-11.8392,-49.7711,15,"TELEMETRIA","mancha",7,"moda_mancha",7,1,1,0.1,"Formoso do Araguaia",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"26790001","TO",-11.3231,-49.2592,15,"TELEMETRIA","mancha",7,"moda_mancha",7,1,1,1.88,"Aliança do Tocantins",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"26795140","TO",-10.3903,-49.8167,15,"TELEMETRIA","mancha",7,"moda_mancha",7,0.9,0.988,50.59,"Pium",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"26795700","TO",-10.8636,-49.6756,15,"TELEMETRIA","mancha",7,"moda_mancha",7,1,1,69.7,"Lagoa da Confusão",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"26795800","TO",-11.6894,-49.1572,15,"TELEMETRIA","mancha",7,"moda_mancha",7,1,1,5.8,"Formoso do Araguaia",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"26798000","TO",-11.3811,-49.6819,15,"TELEMETRIA","mancha",7,"moda_mancha",7,1,1,46.48,"Dueré",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"26798500","TO",-10.8408,-49.7567,15,"TELEMETRIA","mancha",7,"moda_mancha",7,1,1,77.67,"Lagoa da Confusão",1,"TELEMETRIA","jul","uniplu_vizinhanca"
"26800000","TO",-10.5647,-49.9342,15,"TELEMETRIA","mancha",7,"moda_mancha",7,0.9,0.988,66.31,"Pium",2,"TELEMETRIA","jul","uniplu_vizinhanca"
"270030001C","AL",-9.801054,-36.561982,10,"CEMADEN","mancha",11,"moda_mancha",11,0.6,0.946,6.59,"Arapiraca",2,"CEMADEN","nov","uniplu_vizinhanca"
"270060701A","AL",-9.829,-35.903,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,12.56,"Barra de São Miguel",7,"CEMADEN","nov","uniplu_vizinhanca"
"270130801A","AL",-9.39315,-36.14565,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,10.43,"Cajueiro",2,"CEMADEN","nov","uniplu_vizinhanca"
"270135701A","AL",-8.85219,-35.56738,10,"CEMADEN","mancha",11,"moda_mancha",11,0.5,0.966,13.36,"Campestre",7,"CEMADEN","nov","uniplu_vizinhanca"
"270170401A","AL",-9.413,-36.077,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.978,12.04,"Capela",2,"CEMADEN","nov","uniplu_vizinhanca"
"270210801A","AL",-8.909571,-35.716296,10,"CEMADEN","mancha",11,"moda_mancha",11,0.5,0.966,0.79,"Colônia Leopoldina",8,"CEMADEN","nov","uniplu_vizinhanca"
"270230602A","AL",-10.122438,-36.179107,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.973,1.52,"Coruripe",5,"CEMADEN","nov","uniplu_vizinhanca"
"270230603A","AL",-10.130025,-36.171095,10,"CEMADEN","mancha",11,"moda_mancha",11,0.8,0.973,1.56,"Coruripe",3,"CEMADEN","nov","uniplu_vizinhanca"
"270240501C","AL",-9.42307,-38.01138,10,"CEMADEN","mancha",8,"moda_mancha",8,0.6,0.94,3.86,"Delmiro Gouveia",3,"CEMADEN","ago","uniplu_vizinhanca"
"270255301C","AL",-9.44265,-36.7883,10,"CEMADEN","mancha",10,"moda_mancha",10,0.4,0.766,16.06,"Estrela de Alagoas",1,"CEMADEN","out","uniplu_vizinhanca"
"270270201A","AL",-10.292398,-36.309014,10,"CEMADEN","mancha",11,"moda_mancha",11,0.9,0.988,17.72,"Feliz Deserto",7,"CEMADEN","nov","uniplu_vizinhanca"
"270330401C","AL",-9.266762,-37.65162,10,"CEMADEN","mancha",8,"moda_mancha",8,0.5,0.826,17.37,"Inhapi",1,"CEMADEN","ago","uniplu_vizinhanca"
"270380901A","AL",-9.13584,-35.748141,10,"CEMADEN","mancha",11,"moda_mancha",11,0.7,0.971,16.74,"Joaquim Gomes",5,"CEMADEN","nov","uniplu_vizinhanca"
"270420301A","AL",-9.741066,-36.504822,10,"CEMADEN","mancha",11,"moda_mancha",11,0.5,0.934,0.3,"Limoeiro de Anadia",6,"CEMADEN","nov","uniplu_vizinhanca"
